customer_id,join_date,first_name,last_name,email
1,2/24/2021,Aimee,Berrisford,aberrisford0@over-blog.com
2,1/4/2021,Ninon,Bloyes,nbloyes1@scientificamerican.com
3,2/20/2021,Luce,Evershed,levershed2@google.pl
4,2/10/2021,Blair,Cosby,bcosby3@dyndns.org
5,2/22/2021,Morey,Shatliffe,mshatliffe4@theguardian.com
6,1/5/2021,Leonerd,Stickels,lstickels5@europa.eu
7,2/24/2021,Imogene,Le Huquet,ilehuquet6@youtu.be
8,3/8/2021,Anthony,Thompson,athompson7@wikispaces.com
9,1/10/2021,Karie,Pessolt,kpessolt8@go.com
10,1/5/2021,Robina,Kesper,rkesper9@taobao.com
11,1/3/2021,Kameko,Falck,kfalcka@biblegateway.com
12,2/5/2021,Gizela,McIlwain,gmcilwainb@google.fr
13,1/29/2021,Donaugh,Falkner,dfalknerc@ihg.com
14,3/23/2021,Wayne,Pollok,wpollokd@mac.com
15,3/12/2021,Gery,Leeke,gleekee@gov.uk
16,3/13/2021,Juline,Rycroft,jrycroftf@prweb.com
17,3/15/2021,Sebastian,McAdam,smcadamg@blogtalkradio.com
18,2/26/2021,Meris,Lavender,mlavenderh@gov.uk
19,2/13/2021,Kimbra,Eickhoff,keickhoffi@digg.com
20,2/1/2021,Thacher,Hember,themberj@hibu.com
21,1/23/2021,Clare,Farrier,cfarrierk@wufoo.com
22,3/29/2021,Stephanie,De Dantesie,sdedantesiel@comcast.net
23,3/12/2021,Zeb,Gosalvez,zgosalvezm@google.co.jp
24,2/9/2021,Des,Growcott,dgrowcottn@ucsd.edu
25,3/29/2021,Ursula,Bitten,ubitteno@mayoclinic.com
26,1/1/2021,Hiram,Hallbird,hhallbirdp@weebly.com
27,3/25/2021,Anna-diana,Rakes,arakesq@wufoo.com
28,3/7/2021,Nancey,Jantot,njantotr@google.fr
29,2/14/2021,Amandy,Snazle,asnazles@bandcamp.com
