,employee_id,last_name,order_id,product_name,quantity
0,5,Buchanan,10248,Queso Cabrales,12
1,5,Buchanan,10248,Singaporean Hokkien Fried Mee,10
2,5,Buchanan,10248,Mozzarella di Giovanni,5
3,6,Suyama,10249,Tofu,9
4,6,Suyama,10249,Manjimup Dried Apples,40
5,4,Peacock,10250,Jack's New England Clam Chowder,10
6,4,Peacock,10250,Manjimup Dried Apples,35
7,4,Peacock,10250,Louisiana Fiery Hot Pepper Sauce,15
8,3,Leverling,10251,Gustaf's Knäckebröd,6
9,3,Leverling,10251,Ravioli Angelo,15
10,3,Leverling,10251,Louisiana Fiery Hot Pepper Sauce,20
11,4,Peacock,10252,Sir Rodney's Marmalade,40
12,4,Peacock,10252,Geitost,25
13,4,Peacock,10252,Camembert Pierrot,40
14,3,Leverling,10253,Gorgonzola Telino,20
15,3,Leverling,10253,Chartreuse verte,42
16,3,Leverling,10253,Maxilaku,40
17,5,Buchanan,10254,Guaraná Fantástica,15
18,5,Buchanan,10254,Pâté chinois,21
19,5,Buchanan,10254,Longlife Tofu,21
20,9,Dodsworth,10255,Chang,20
21,9,Dodsworth,10255,Pavlova,35
22,9,Dodsworth,10255,Inlagd Sill,25
23,9,Dodsworth,10255,Raclette Courdavault,30
24,3,Leverling,10256,Perth Pasties,15
25,3,Leverling,10256,Original Frankfurter grüne Soße,12
26,4,Peacock,10257,Schoggi Schokolade,25
27,4,Peacock,10257,Chartreuse verte,6
28,4,Peacock,10257,Original Frankfurter grüne Soße,15
29,1,Davolio,10258,Chang,50
30,1,Davolio,10258,Chef Anton's Gumbo Mix,65
31,1,Davolio,10258,Mascarpone Fabioli,6
32,4,Peacock,10259,Sir Rodney's Scones,10
33,4,Peacock,10259,Gravad lax,1
34,4,Peacock,10260,Jack's New England Clam Chowder,16
35,4,Peacock,10260,Ravioli Angelo,50
36,4,Peacock,10260,Tarte au sucre,15
37,4,Peacock,10260,Outback Lager,21
38,4,Peacock,10261,Sir Rodney's Scones,20
39,4,Peacock,10261,Steeleye Stout,20
40,8,Callahan,10262,Chef Anton's Gumbo Mix,12
41,8,Callahan,10262,Uncle Bob's Organic Dried Pears,15
42,8,Callahan,10262,Gnocchi di nonna Alice,2
43,9,Dodsworth,10263,Pavlova,60
44,9,Dodsworth,10263,Guaraná Fantástica,28
45,9,Dodsworth,10263,Nord-Ost Matjeshering,60
46,9,Dodsworth,10263,Longlife Tofu,36
47,6,Suyama,10264,Chang,35
48,6,Suyama,10264,Jack's New England Clam Chowder,25
49,2,Fuller,10265,Alice Mutton,30
50,2,Fuller,10265,Outback Lager,20
51,3,Leverling,10266,Queso Manchego La Pastora,12
52,4,Peacock,10267,Boston Crab Meat,50
53,4,Peacock,10267,Raclette Courdavault,70
54,4,Peacock,10267,Lakkalikööri,15
55,8,Callahan,10268,Thüringer Rostbratwurst,10
56,8,Callahan,10268,Mozzarella di Giovanni,4
57,5,Buchanan,10269,Geitost,60
58,5,Buchanan,10269,Mozzarella di Giovanni,20
59,1,Davolio,10270,Inlagd Sill,30
60,1,Davolio,10270,Ipoh Coffee,25
61,6,Suyama,10271,Geitost,24
62,6,Suyama,10272,Sir Rodney's Marmalade,6
63,6,Suyama,10272,Gorgonzola Telino,40
64,6,Suyama,10272,Mozzarella di Giovanni,24
65,3,Leverling,10273,Ikura,24
66,3,Leverling,10273,Gorgonzola Telino,15
67,3,Leverling,10273,Geitost,20
68,3,Leverling,10273,Boston Crab Meat,60
69,3,Leverling,10273,Lakkalikööri,33
70,6,Suyama,10274,Fløtemysost,20
71,6,Suyama,10274,Mozzarella di Giovanni,7
72,1,Davolio,10275,Guaraná Fantástica,12
73,1,Davolio,10275,Raclette Courdavault,6
74,8,Callahan,10276,Ikura,15
75,8,Callahan,10276,Konbu,10
76,2,Fuller,10277,Rössle Sauerkraut,20
77,2,Fuller,10277,Tarte au sucre,12
78,8,Callahan,10278,Gula Malacca,16
79,8,Callahan,10278,Raclette Courdavault,15
80,8,Callahan,10278,Vegie-spread,8
81,8,Callahan,10278,Röd Kaviar,25
82,8,Callahan,10279,Alice Mutton,15
83,2,Fuller,10280,Guaraná Fantástica,12
84,2,Fuller,10280,Pâté chinois,20
85,2,Fuller,10280,Rhönbräu Klosterbier,30
86,4,Peacock,10281,Teatime Chocolate Biscuits,1
87,4,Peacock,10281,Guaraná Fantástica,6
88,4,Peacock,10281,Steeleye Stout,4
89,4,Peacock,10282,Nord-Ost Matjeshering,6
90,4,Peacock,10282,Ravioli Angelo,2
91,3,Leverling,10283,Genen Shouyu,20
92,3,Leverling,10283,Teatime Chocolate Biscuits,18
93,3,Leverling,10283,Camembert Pierrot,35
94,3,Leverling,10283,Mozzarella di Giovanni,3
95,4,Peacock,10284,Schoggi Schokolade,15
96,4,Peacock,10284,Gula Malacca,21
97,4,Peacock,10284,Camembert Pierrot,20
98,4,Peacock,10284,Laughing Lumberjack Lager,5
99,1,Davolio,10285,Chai,45
100,1,Davolio,10285,Boston Crab Meat,40
101,1,Davolio,10285,Perth Pasties,36
102,8,Callahan,10286,Steeleye Stout,100
103,8,Callahan,10286,Tarte au sucre,40
104,8,Callahan,10287,Pavlova,40
105,8,Callahan,10287,Sasquatch Ale,20
106,8,Callahan,10287,Spegesild,15
107,4,Peacock,10288,Tourtière,10
108,4,Peacock,10288,Scottish Longbreads,3
109,7,King,10289,Aniseed Syrup,30
110,7,King,10289,Wimmers gute Semmelknödel,9
111,8,Callahan,10290,Chef Anton's Gumbo Mix,20
112,8,Callahan,10290,Thüringer Rostbratwurst,15
113,8,Callahan,10290,Maxilaku,15
114,8,Callahan,10290,Original Frankfurter grüne Soße,10
115,6,Suyama,10291,Konbu,20
116,6,Suyama,10291,Gula Malacca,24
117,6,Suyama,10291,Manjimup Dried Apples,2
118,1,Davolio,10292,Sir Rodney's Marmalade,20
119,1,Davolio,10293,Carnarvon Tigers,12
120,1,Davolio,10293,Guaraná Fantástica,10
121,1,Davolio,10293,Vegie-spread,5
122,1,Davolio,10293,Rhönbräu Klosterbier,6
123,4,Peacock,10294,Chai,18
124,4,Peacock,10294,Alice Mutton,15
125,4,Peacock,10294,Ipoh Coffee,15
126,4,Peacock,10294,Camembert Pierrot,21
127,4,Peacock,10294,Rhönbräu Klosterbier,6
128,2,Fuller,10295,Gnocchi di nonna Alice,4
129,6,Suyama,10296,Queso Cabrales,12
130,6,Suyama,10296,Pavlova,30
131,6,Suyama,10296,Gudbrandsdalsost,15
132,5,Buchanan,10297,Chartreuse verte,60
133,5,Buchanan,10297,Mozzarella di Giovanni,20
